        No.      Enthalpy            0.1            0.2
   1  642      -2.68720       Fm2m(42)       Fm2m(42)
   2 1057       0.11676       C2/c(15)       C2/c(15)
   3  898       0.11679       C2/c(15)       C2/c(15)
   4  986       0.11772       C2/c(15)       C2/c(15)
   5  359       0.12742     Ccm2_1(36)     Ccm2_1(36)
   6  566       0.12837          Cm(8)          Cm(8)
   7 1048       0.12959     Ccm2_1(36)     Ccm2_1(36)
   8  724       0.12976          Pm(6)          Pm(6)
   9  615       0.13005          Pm(6)          Pm(6)
  10 1228       0.13216          P1(1)          P1(1)
  11   16       0.13258       Ima2(46)       Ima2(46)
  12  855       0.13297          P1(1)          P1(1)
  13 1112       0.13473          C2(5)          C2(5)
  14  812       0.13474          C2(5)          C2(5)
  15 1022       0.13475          C2(5)          C2(5)
  16  357       0.13587          Cm(8)          Cm(8)
  17  323       0.13603          Cm(8)          Cm(8)
  18  159       0.13646          P1(1)          P1(1)
  19  569       0.13953         P-1(2)         P-1(2)
  20  288       0.13983       C2/m(12)       C2/m(12)
  21  756       0.14002         P-1(2)         P-1(2)
  22  826       0.14021          P1(1)          P1(1)
  23  416       0.14028       Im2a(46)       Im2a(46)
  24  659       0.14065          P1(1)          P1(1)
  25 1154       0.14077          P1(1)          P1(1)
  26  662       0.14085          P1(1)          P1(1)
  27  658       0.14133          P1(1)          P1(1)
  28  868       0.14138          P1(1)          P1(1)
  29  329       0.14139          P1(1)          P1(1)
  30  285       0.14139          P1(1)          P1(1)
  31  452       0.14231          P1(1)          P1(1)
  32  924       0.14329          P1(1)          P1(1)
  33  517       0.14331          P1(1)          P1(1)
  34 1055       0.14342          P1(1)          P1(1)
  35 1120       0.14372         P-1(2)         P-1(2)
  36  954       0.14454          P1(1)          P1(1)
  37 1204       0.14486          P1(1)          P1(1)
  38  822       0.14519          P1(1)          P1(1)
  39 1184       0.14600          P1(1)          P1(1)
  40  617       0.14641          P1(1)          P1(1)
  41  626       0.14769          P1(1)          P1(1)
  42  943       0.14902       Cm2m(38)       Cm2m(38)
  43  874       0.14905          P1(1)          P1(1)
  44 1014       0.14905          P1(1)          P1(1)
  45  633       0.14937       Cm2m(38)       Cm2m(38)
  46 1127       0.14950       C2mm(38)       C2mm(38)
  47  646       0.14953       Cm2m(38)       Cm2m(38)
  48    8       0.14955       Cm2m(38)       Cm2m(38)
  49 1176       0.15071          P1(1)          P1(1)
  50  204       0.15072          P1(1)          P1(1)
  51 1211       0.15091          P1(1)          P1(1)
  52  888       0.15101          P1(1)          P1(1)
  53  169       0.15106          P1(1)          P1(1)
  54  959       0.15111          P1(1)          P1(1)
  55 1058       0.15116   P-42_1m(113)   P-42_1m(113)
  56  228       0.15169          P1(1)          P1(1)
  57  420       0.15192          P1(1)          P1(1)
  58 1018       0.15201          P1(1)          P1(1)
  59  660       0.15233         P-1(2)         P-1(2)
  60  109       0.15236          Pm(6)          Pm(6)
  61  711       0.15247          P1(1)          P1(1)
  62  902       0.15270          P1(1)          P1(1)
  63  671       0.15276          P1(1)          P1(1)
  64   64       0.15324          P1(1)          P1(1)
  65  797       0.15326         P-1(2)         P-1(2)
  66  766       0.15334          P1(1)          P1(1)
  67  696       0.15433        P2_1(4)        P2_1(4)
  68  512       0.15438          P1(1)          P1(1)
  69 1220       0.15440          Cm(8)          Cm(8)
  70  759       0.15492          P1(1)          P1(1)
  71  912       0.15495          P1(1)          P1(1)
  72  376       0.15501          P1(1)          P1(1)
  73  816       0.15526       C2mm(38)       C2mm(38)
  74  403       0.15543          Cc(9)          Cc(9)
  75  178       0.15565          Cc(9)          Cc(9)
  76  661       0.15579          Cc(9)          Cc(9)
  77  360       0.15589          Cm(8)          Cm(8)
  78 1056       0.15610         P-1(2)         P-1(2)
  79  413       0.15677         P-1(2)         P-1(2)
  80  545       0.15683     Cmc2_1(36)     Cmc2_1(36)
  81  674       0.15701          P1(1)          Cm(8)
  82  155       0.15730          P1(1)          P1(1)
  83  567       0.15740          P1(1)          P1(1)
  84 1101       0.15846          P1(1)          P1(1)
  85 1020       0.15855          P1(1)          P1(1)
  86  757       0.15870          P1(1)          P1(1)
  87  369       0.15882         P-1(2)         P-1(2)
  88  280       0.15909          P1(1)          P1(1)
  89 1124       0.15949          P1(1)          P1(1)
  90  909       0.15961         P-1(2)         P-1(2)
  91  187       0.15968          P1(1)          P1(1)
  92  621       0.16000          P1(1)          P1(1)
  93  863       0.16050         P-1(2)         P-1(2)
  94  707       0.16055          Pm(6)          Pm(6)
  95  715       0.16055          Pm(6)          Pm(6)
  96 1147       0.16068     C222_1(20)     C222_1(20)
  97  679       0.16068          P1(1)          P1(1)
  98 1175       0.16096          P1(1)          P1(1)
  99  205       0.16152          Cm(8)          Cm(8)
 100  180       0.16154          Cm(8)          Cm(8)
